date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:26	87/87	---M-Z	200	added ('OK')	text/plain	etag:%2247-61fc2dbd903c8-gzip%22	https://getcelery.carrd.co/robots.txt		(from )
09:27:26	102952/102952	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202024%2001:27:11%20GMT	https://getcelery.carrd.co/	C:/Users/wimal/Desktop/feather/newfeather/getcelery.carrd.co/index.html	(from )
09:27:27	41482/41482	---M--	200	added ('OK')	image/jpeg	etag:%22a20a-61fc2dbae1780%22	https://getcelery.carrd.co/assets/images/card.jpg?v=b90e0e13	C:/Users/wimal/Desktop/feather/newfeather/getcelery.carrd.co/assets/images/carda960.jpg	(from https://getcelery.carrd.co/)
09:27:28	69180/69180	---M--	200	added ('OK')	image/jpeg	etag:%2210e3c-61fc2dbc85640%22	https://getcelery.carrd.co/assets/images/container10.jpg?v=b90e0e13	C:/Users/wimal/Desktop/feather/newfeather/getcelery.carrd.co/assets/images/container10a960.jpg	(from https://getcelery.carrd.co/)
09:27:28	120888/120888	---M--	200	added ('OK')	image/jpeg	etag:%221d838-61fc2dbc93100%22	https://getcelery.carrd.co/assets/images/container07.jpg?v=b90e0e13	C:/Users/wimal/Desktop/feather/newfeather/getcelery.carrd.co/assets/images/container07a960.jpg	(from https://getcelery.carrd.co/)
09:27:28	1389/1389	---M--	200	added ('OK')	image/png	etag:%2256d-61fc2dbc80050%22	https://getcelery.carrd.co/assets/images/image01.png?v=b90e0e13	C:/Users/wimal/Desktop/feather/newfeather/getcelery.carrd.co/assets/images/image01a960.png	(from https://getcelery.carrd.co/)
09:27:28	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-61fc2dbc87d50%22	https://getcelery.carrd.co/assets/images/image02.png?v=b90e0e13	C:/Users/wimal/Desktop/feather/newfeather/getcelery.carrd.co/assets/images/image02a960.png	(from https://getcelery.carrd.co/)
09:27:28	2121/2121	---M--	200	added ('OK')	image/png	etag:%22849-61fc2dbc8a078%22	https://getcelery.carrd.co/assets/images/image03.png?v=b90e0e13	C:/Users/wimal/Desktop/feather/newfeather/getcelery.carrd.co/assets/images/image03a960.png	(from https://getcelery.carrd.co/)
09:27:29	4446/4446	---M--	200	added ('OK')	image/png	etag:%22115e-61fc2dbc8c788%22	https://getcelery.carrd.co/assets/images/image04.png?v=b90e0e13	C:/Users/wimal/Desktop/feather/newfeather/getcelery.carrd.co/assets/images/image04a960.png	(from https://getcelery.carrd.co/)
09:27:29	1797/1797	---M--	200	added ('OK')	image/png	etag:%22705-61fc2dbc8eab0%22	https://getcelery.carrd.co/assets/images/image05.png?v=b90e0e13	C:/Users/wimal/Desktop/feather/newfeather/getcelery.carrd.co/assets/images/image05a960.png	(from https://getcelery.carrd.co/)
